"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
480,712677489.509612,8079432.38189422,2007,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.0113367301490799
480,712677489.509612,23124126.6761916,2009,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.0324468318651444
480,712677489.509612,5576421.2481882,2013,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.00782460696496152
480,712677489.509612,1727566.9806894,2018,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.00242405156065491
481,452721961.317413,1905027.75590234,2000,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.00420794200122023
481,452721961.317413,424198371.704443,2007,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.936995348027813
481,452721961.317413,0.00164640694856644,2009,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",3.63668451995442e-12
481,452721961.317413,195846.115598231,2013,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","ROU",0.000432596896842209
939,213124726.556515,205358501.244272,1955,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.963560186386052
939,213124726.556515,3140038.19529184,1997,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.0147333359485117
939,213124726.556515,3733156.77505802,2003,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.0175163005971908
940,73114123.8429575,65174030.1586091,1981,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.891401369981496
940,73114123.8429575,7845690.5146935,1997,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.107307454460445
942,1081312435.5355,119280.521731191,1957,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.00011031087575731
942,1081312435.5355,124698.617396533,1970,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.000115321541950804
942,1081312435.5355,195400.221605271,1971,FALSE,2,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.000180706533268068
942,1081312435.5355,289017988.128676,1973,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.267284439381802
942,1081312435.5355,1910038.81625968,1983,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.00176640788868184
942,1081312435.5355,279339.142877959,1985,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.000258333423068071
942,1081312435.5355,4444414.68384141,1988,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.00411020398710239
942,1081312435.5355,148017.171082437,1990,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.00013688658912827
942,1081312435.5355,4906730.26055866,1991,FALSE,1,"11201","CZE;ROU;POL;HUN;UKR;SVK;AUT;SRB","Carpathian Mountains","POL",0.00453775439855059
