"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","percPA"
21987,694928924.154459,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TJK",0
21988,97594609.5178487,515693.960498393,1970,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TJK",0.0052840414347278
21998,42819648.2141594,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","TJK",0
22137,51394633.7591412,51386219.0074917,1947,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0.999836271784932
22143,56974887.2142651,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0
22144,20747897.0686474,20747897.0686474,1990,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",1
22148,33104935.0549839,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","KAZ",0
22156,6252235.51289746,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0
22157,18005153.3673027,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0
22158,219788596.229143,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0
22173,196355499.987542,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0
22518,26627130.9227126,10153372.9484349,1975,FALSE,1,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","UZB",0.381316822225644
15438,728808115.61422,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0
15433,1555072824.22843,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0
15434,488457754.188031,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0
15439,520806976.472854,0,0,FALSE,0,"12174","AFG;KAZ;UZB;KGZ;CHN;TKM;TJK","Tian Shan","CHN",0
