"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","mountain","terrestrial","marine","freshwater","original_area","kba_note","error_note","percPA"
46608,143196301.964093,1031.73678095639,1981,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,143196301.963849,NA,"",7.2050518540283e-06
46608,143196301.964093,48925757.2111328,2003,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,143196301.963849,NA,"",0.341669139077355
46607,47080699.6193719,13035865.3178206,1970,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,47080699.6193056,NA,"",0.276883424061457
46607,47080699.6193719,3501096.79751202,1975,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,47080699.6193056,NA,"",0.0743637377060442
46607,47080699.6193719,1615335.06529957,1981,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,47080699.6193056,NA,"",0.0343099205907919
46607,47080699.6193719,506207.685293432,2014,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","PSE",FALSE,"14099",1,1,0,0,47080699.6193056,NA,"",0.0107519151029172
8197,2016014.14925333,5097.03605614044,2003,TRUE,1,"14099","PSE;ISR;JOR","Judaean Mountains","JOR",TRUE,"14099",1,1,0,1,348386672.348825,NA,"",0.0025282739498769
8186,437552.168537453,0,0,FALSE,0,"14099","PSE;ISR;JOR","Judaean Mountains","JOR",NA,NA,1,1,0,1,383366000.183536,NA,"no pas overlapping this kba",0
8198,94145.8146197908,0,0,FALSE,0,"14099","PSE;ISR;JOR","Judaean Mountains","JOR",NA,NA,1,1,0,0,1187819835.96451,NA,"no pas overlapping this kba",0
8179,992425349.31919,783348.273835261,1969,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.000789327151279079
8179,992425349.31919,295380.375802826,1976,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.000297634855866448
8179,992425349.31919,5133497.06121554,1989,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.00517267829236441
8179,992425349.31919,7623565.19391129,1994,FALSE,2,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.00768175178026348
8179,992425349.31919,730500.30628681,2003,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.000736075823524599
8179,992425349.31919,137686.399737693,2005,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.000138737286217192
8179,992425349.31919,12185037.6687035,2007,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.0122780395291822
8179,992425349.31919,2884127.04291017,2008,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.00290614003853156
8179,992425349.31919,8413057.13051227,2017,FALSE,2,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.00847726948559273
8179,992425349.31919,3807304.15900011,2018,FALSE,1,"14099","PSE;ISR;JOR","Judaean Mountains","ISR",FALSE,"14099",1,1,0,1,1072108198.57161,NA,"",0.00383636327066005
