"SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","in_gmba","mountain","terrestrial","note","percPA"
31314,47903589.4927399,2213350.75687472,2014,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.0462042778069934
31309,17463131.3491442,17463131.2960751,2007,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.999999996961075
31306,45245274.9012433,37204236.2642552,2007,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.822278930683054
24490,931327.601331369,564670.896331599,2009,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.606307485705761
24490,931327.601331369,189.659782015806,2014,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.000203644541131048
31310,23512382.9658173,17833176.8710136,2008,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.758458931914292
31310,23512382.9658173,5683799.6014424,2014,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.241736433508488
31315,79019545.3782079,69806334.3402307,2007,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.88340592199208
31315,79019545.3782079,3120.08413848691,2008,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",3.94849669604321e-05
31315,79019545.3782079,9222857.13419314,2014,FALSE,3,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.116716150289782
24492,88108404.0757708,0.918545958404167,2005,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",1.0425179845662e-08
24492,88108404.0757708,62688995.0500647,2007,FALSE,3,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.711498474040614
24492,88108404.0757708,694739.140405886,2008,FALSE,3,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.00788504964643814
24492,88108404.0757708,24731526.8621041,2014,FALSE,2,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,1,1,"",0.280694300634882
24,22878769.6976964,7925318.88887341,2007,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.346404941943682
24,22878769.6976964,872883.213740955,2014,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.0381525416477636
24,22878769.6976964,13901903.5567418,2016,FALSE,1,"11651","CYP","Troödos Mountains","CYP",FALSE,"11651",TRUE,0,1,"",0.607633353560156
