"","SitRecID","kba","ovl","year","random","nPAs","DOMAIN","range_countries","RangeName","COUNTRY","multiple_ranges","all_gmba_intersec","mountain","terrestrial","marine","freshwater","original_area","kba_note","error_note","percPA"
"124",2680,113181012.102433,0.00986563186406123,2017,FALSE,2,18973,"GBR","Outer Hebrides","GBR",FALSE,18973,0,1,0,0,166688402.705742,NA,"",8.7166846106063e-11
"125",2597,1528728.91803367,1528728.91803367,1958,FALSE,1,18973,"GBR","Outer Hebrides","GBR",FALSE,18973,0,1,1,0,165152041.889437,NA,"",1
"126",2506,2565162.67339334,2565162.67339334,1980,FALSE,1,18973,"GBR","Outer Hebrides","GBR",FALSE,18973,0,1,0,1,589267349.258848,NA,"",1
"127",2627,1087423.04900885,128869.973034232,1956,FALSE,1,21037,"GBR","Moorfoot Hills","GBR",FALSE,21037,0,1,1,0,456730843.572356,NA,"",0.118509510306676
"128",2627,1087423.04900885,0,1957,FALSE,1,21037,"GBR","Moorfoot Hills","GBR",FALSE,21037,0,1,1,0,456730843.572356,NA,"",0
"129",2627,1087423.04900885,2.63780315969525e-05,1974,FALSE,1,21037,"GBR","Moorfoot Hills","GBR",FALSE,21037,0,1,1,0,456730843.572356,NA,"",2.42573776792712e-11
"130",2627,1087423.04900885,471180.614322732,1980,FALSE,2,21037,"GBR","Moorfoot Hills","GBR",FALSE,21037,0,1,1,0,456730843.572356,NA,"",0.433300190530443
"131",2627,1087423.04900885,1.21775546853781e-05,1986,FALSE,1,21037,"GBR","Moorfoot Hills","GBR",FALSE,21037,0,1,1,0,456730843.572356,NA,"",1.11985438385525e-11
"132",2627,1087423.04900885,5.39851414607792e-08,1992,FALSE,1,21037,"GBR","Moorfoot Hills","GBR",FALSE,21037,0,1,1,0,456730843.572356,NA,"",4.9645022247767e-14
"133",2627,1087423.04900885,8.80045117810369e-05,2004,FALSE,1,21037,"GBR","Moorfoot Hills","GBR",FALSE,21037,0,1,1,0,456730843.572356,NA,"",8.09294155216313e-11
"134",2627,1087423.04900885,0,2005,FALSE,1,21037,"GBR","Moorfoot Hills","GBR",FALSE,21037,0,1,1,0,456730843.572356,NA,"",0
"135",2627,1087423.04900885,0.0561882163434337,2011,FALSE,1,21037,"GBR","Moorfoot Hills","GBR",FALSE,21037,0,1,1,0,456730843.572356,NA,"",5.1670981587752e-08
"136",2558,30720994.5878602,29817826.7520778,1961,FALSE,1,18971,"GBR","Shetlands","GBR",FALSE,18971,0,1,1,0,75866108.1355163,NA,"",0.970600957166298
"137",2558,30720994.5878602,46580.0762197018,1997,FALSE,2,18971,"GBR","Shetlands","GBR",FALSE,18971,0,1,1,0,75866108.1355163,NA,"",0.00151622943347376
"138",2558,30720994.5878602,0.000670860607528545,2004,FALSE,1,18971,"GBR","Shetlands","GBR",FALSE,18971,0,1,1,0,75866108.1355163,NA,"",2.18372034020553e-11
"139",10113,40621751.1142448,39493842.3325892,2000,FALSE,2,15353,"MEX","Sierra de la Giganta","MEX",FALSE,15353,0,1,1,0,1754371732.78138,NA,"",0.972233870999715
